m,split,method,variant,n_repeats,covered_model_repeat_evaluations,total_model_repeat_evaluations,pooled_model_repeat_picp,coverage_aggregation_unit,mae_mean,mae_sd,mae_ci95_half,rmse_mean,rmse_sd,rmse_ci95_half,mape_mean,mape_sd,mape_ci95_half,picp_mean,picp_sd,picp_ci95_half,mpiw_mean,mpiw_sd,mpiw_ci95_half,ece_mean,ece_sd,ece_ci95_half,nll_mean,nll_sd,nll_ci95_half,interval_score_mean,interval_score_sd,interval_score_ci95_half,wis_1level_mean,wis_1level_sd,wis_1level_ci95_half,physics_residual_abs_mean,physics_residual_abs_sd,physics_residual_abs_ci95_half
1,test,deep_ensemble,raw,10,370,380,0.9736842105263158,trajectory_by_model_repeat,0.36119182776255343,0.011584774758822016,0.007180317785909456,0.4602384414944486,0.006394086973431639,0.003963096165078278,0.6765219696237675,0.05570987231442443,0.034529336595464505,0.9736842105263157,1.1702778228589004e-16,7.253457094217689e-17,2.43380680954629,0.029794230210693766,0.018466655205049382,0.10289934210526316,0.012880855399638966,0.007983636889730958,0.7188142164200726,0.008880194068460748,0.0055040013068480215,2.5904644290875884,0.04905170444429088,0.030402561394843156,0.4673476659208883,0.008987302984923036,0.005570388101059795,,,
1,test,deep_ensemble,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.36119182776255343,0.011584774758822016,0.007180317785909456,0.4602384414944486,0.006394086973431639,0.003963096165078278,0.6765219696237675,0.05570987231442443,0.034529336595464505,1.0,0.0,0.0,3.1089904558593964,0.09302063269551258,0.05765478546671856,,,,,,,3.1089904558593964,0.09302063269551258,0.05765478546671856,0.49203938148145066,0.007518320005501107,0.0046599030174970585,,,
1,calibration,bayesian_laplace,raw,10,260,270,0.9629629629629629,trajectory_by_model_repeat,0.4815898553330313,0.0038001245260532186,0.0023553415833408244,0.6063158109126106,0.014820490966731796,0.009185835469377351,3.7419387023820767,0.17008506668877477,0.10541981651675963,0.962962962962963,1.1702778228589004e-16,7.253457094217689e-17,2.4493827338333607,0.008719093672341867,0.005404150246844584,0.03329009259259258,0.004483034833502478,0.0027786137771333447,0.9196524273064259,0.023188312652002295,0.014372265082979622,2.92981781859166,0.10031647440620467,0.06217679500847242,0.598172139297728,0.0061907165765682694,0.0038370458871811175,,,
1,test,bayesian_laplace,raw,10,370,380,0.9736842105263158,trajectory_by_model_repeat,0.3575857209531884,0.010227542896129418,0.006339096762093398,0.46123965267403194,0.007659636500651965,0.004747491888640314,0.6718615803057596,0.04914670961536313,0.030461446209939277,0.9736842105263157,1.1702778228589004e-16,7.253457094217689e-17,2.4493827338333607,0.008719093672341688,0.005404150246844473,0.1117817105263158,0.009811767519461305,0.006081396513777406,0.7211756067380803,0.010082959898385724,0.006249483291667606,2.606433755409514,0.05488663499911827,0.03401908882110741,0.4646737225939659,0.007725526588392583,0.004788330988128096,,,
1,test,bayesian_laplace,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.3575857209531884,0.010227542896129418,0.006339096762093398,0.46123965267403194,0.007659636500651965,0.004747491888640314,0.6718615803057596,0.04914670961536313,0.030461446209939277,1.0,0.0,0.0,3.097970098257065,0.13418775777332004,0.08317043394023252,,,,,,,3.097970098257065,0.13418775777332004,0.08317043394023252,0.4880802151105158,0.007230468958975419,0.004481491090455742,,,
2,calibration,deterministic,raw,10,0,0,,not_applicable_no_interval,0.47708586502164885,0.006343372425798169,0.003931662962797011,0.5988265300095487,0.017065203182396693,0.010577122514825768,3.5159494073991775,0.4076675115903162,0.25267494147698416,,,,,,,,,,,,,,,,,,,,,
2,test,deterministic,raw,10,0,0,,not_applicable_no_interval,0.35524410797332073,0.020939690055614944,0.012978554358449336,0.44455225025541656,0.01861808756655057,0.011539610227805258,0.694057018295789,0.08236393591075082,0.05104969636868506,,,,,,,,,,,,,,,,,,,,,
2,test,deterministic,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.35524410797332073,0.020939690055614944,0.012978554358449336,0.44455225025541656,0.01861808756655057,0.011539610227805258,0.694057018295789,0.08236393591075082,0.05104969636868506,1.0,0.0,0.0,2.9270482540130613,0.17617873615730048,0.10919671198319834,,,,,,,2.9270482540130613,0.17617873615730048,0.10919671198319834,0.47771097207045116,0.016169575848742308,0.010022006942251686,,,
2,calibration,gaussian_process,raw,10,260,270,0.9629629629629629,trajectory_by_model_repeat,0.47433723488746865,2.2896367666095447e-08,1.4191315706021067e-08,0.5858480780813746,3.049807133608874e-08,1.8902900454209664e-08,3.645072609154122,6.395564989220722e-07,3.964012248755271e-07,0.962962962962963,1.1702778228589004e-16,7.253457094217689e-17,2.4738422188060896,1.2356241543430717e-06,7.658477852901339e-07,0.030660648148148152,3.657118196434064e-18,2.266705341943028e-18,0.8889582408699944,6.682975292994078e-08,4.1421510006085106e-08,2.831873178720193,5.852481071706762e-07,3.6274053493248513e-07,0.5866008512604555,2.7919134354796528e-08,1.7304458752836863e-08,,,
2,test,gaussian_process,raw,10,370,380,0.9736842105263158,trajectory_by_model_repeat,0.3505524967189114,6.244679406003747e-08,3.870492395381762e-08,0.4390554398562698,1.3124493141883614e-07,8.134645126867884e-08,0.6540438643132,1.1357015385616684e-07,7.039151063864345e-08,0.9736842105263157,1.1702778228589004e-16,7.253457094217689e-17,2.4700877994037684,1.2290267464115717e-06,7.617586694896411e-07,0.10618881578947373,1.4628472785736255e-17,9.066821367772112e-18,0.6995133027436402,2.437026781752962e-07,1.5104848484372086e-07,2.486831242848857,7.388532411932634e-07,4.5794598335861737e-07,0.4522800560584327,7.842680120470219e-08,4.860943499598687e-08,,,
2,test,gaussian_process,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.3505524967189114,6.244679406003747e-08,3.870492395381762e-08,0.4390554398562698,1.3124493141883614e-07,8.134645126867884e-08,0.6540438643132,1.1357015385616684e-07,7.039151063864345e-08,1.0,0.0,0.0,2.9545015430632917,6.951048850040263e-07,4.3083047126713997e-07,,,,,,,2.9545015430632917,6.951048850040263e-07,4.3083047126713997e-07,0.47455007035435803,8.339778546517831e-08,5.169048296127351e-08,,,
2,calibration,mc_dropout,raw,10,260,270,0.9629629629629629,trajectory_by_model_repeat,0.4659622637614203,0.00448940454173314,0.0027825617631971086,0.589738653850379,0.01118946611887338,0.006935302952437157,3.550025332079904,0.18679522924298866,0.1157768825703823,0.962962962962963,1.1702778228589004e-16,7.253457094217689e-17,2.497956743779286,0.055688328824538384,0.03451598380209391,0.04086324074074073,0.011104428827381474,0.006882596293112604,0.8920079251858007,0.017025072603282777,0.010552249324196744,2.9190145889636936,0.0932193043524398,0.05777792343543084,0.5827742792472428,0.0063508484705167186,0.003936296663320189,,,
2,test,mc_dropout,raw,10,378,380,0.9947368421052631,trajectory_by_model_repeat,0.3433817475503801,0.008408650184573705,0.005211735379646237,0.43663486957860675,0.005590798707269724,0.0034652129394814705,0.6201411283239355,0.029330379175759244,0.018179157355027172,0.9947368421052631,0.011095711088310091,0.006877192982456132,2.488422209870779,0.05694848920607447,0.03529703929855503,0.11967565789473684,0.009615421608944635,0.005959700057624919,0.6961610368210509,0.014266510334432946,0.008842474716151169,2.50056672692073,0.056959090542268276,0.0353036100748033,0.446104841806111,0.00898591002956379,0.00556952473838342,,,
2,test,mc_dropout,calibrated,10,380,380,1.0,trajectory_by_model_repeat,0.3433817475503801,0.008408650184573705,0.005211735379646237,0.43663486957860675,0.005590798707269724,0.0034652129394814705,0.6201411283239355,0.029330379175759244,0.018179157355027172,1.0,0.0,0.0,3.0705627899060564,0.13222013776698235,0.08195089042544308,,,,,,,3.0705627899060564,0.13222013776698235,0.08195089042544308,0.47324751147207894,0.005929474731123725,0.00367512651383803,,,
2,calibration,deep_ensemble,raw,10,260,270,0.9629629629629629,trajectory_by_model_repeat,0.4692926762294438,0.0017548827605008142,0.0010876876037502828,0.5854867036357108,0.003430909662176124,0.002126499839836058,3.6340750044123795,0.13492472353881504,0.08362721005403313,0.962962962962963,1.1702778228589004e-16,7.253457094217689e-17,2.3970269691749997,0.033106354038939495,0.020519530822244857,0.028791944444444433,0.005350479301262534,0.0033162614284528626,0.8788967012451405,0.0047006927505288875,0.002913519551773339,2.828503540589012,0.04534008122390599,0.028102073489057227,0.5816360507227565,0.0016733008992751992,0.0010371226422934538,,,
2,test,deep_ensemble,raw,10,373,380,0.9815789473684211,trajectory_by_model_repeat,0.34190651125617716,0.006748033965440153,0.004182474783557892,0.42928406086889226,0.003806772224772013,0.002359461869694219,0.6401569395966837,0.025851618064659344,0.0160229988798752,0.9815789473684211,0.012711733987885459,0.007878814352731084,2.387268555534156,0.032922409116077335,0.02040552057787225,0.11342565789473687,0.009147655094129042,0.005669775368029589,0.6683977286738089,0.008481381855383345,0.005256814936252694,2.4069244667949357,0.03411341032976494,0.02114371077800269,0.44024069961516565,0.006395050557830586,0.003963693400876298,,,
