m,variant,lambda_phys,tau,calibration,mae_mean,mae_std,rmse_mean,rmse_std,picp_mean,picp_std,mpiw_mean,mpiw_std,ece_mean,ece_std,nll_mean,nll_std,physics_residual_abs_mean,physics_residual_abs_std
1,mapp,1.0,10.0,calibrated,0.7759831576330359,0.0008377675697627402,0.9644217770568613,0.00031495548488506863,1.0,0.0,6.345401853322983,0.003394735244101698,0.1653993421052632,0.0,1.5780727044091343,0.00027688530738580137,0.002151799271814525,0.0017182829454316139
1,mapp,10.0,10.0,calibrated,0.776481656439341,0.0003282327956695572,0.9644396472828985,0.00013672876192406903,1.0,0.0,6.333380864312251,0.006805557616479448,0.16210986842105266,0.0032894736842105365,1.5768573182225358,0.0007326410360726264,0.002356485890535017,0.00088464147058719
1,mapp,1.0,0.03,calibrated,0.7753607906776954,0.0009189437179814951,0.9646536861182823,0.0007489764020854058,1.0,0.0,6.343601783116658,0.007447776382725805,0.16320635964912283,0.0037983570341422867,1.5779755263255764,0.0005402974380108905,0.0036285857980449996,0.0004348711980523091
1,mapp,1.0,3.0,calibrated,0.7764147268608212,0.0005587767733199802,0.9647432504150713,0.0005408453586152561,1.0,0.0,6.349360807488362,0.022705407918848432,0.1653993421052632,0.003289473684210526,1.5785943024088953,0.0021612682551894946,0.0025214268437897167,0.0017951932298584073
1,mapp,1.0,0.01,calibrated,0.7766852553509045,0.001380519159243982,0.9648030870167043,0.001772201155549029,1.0,0.0,6.3390818269302445,0.021749459041733397,0.16210986842105266,0.0,1.5775686055922422,0.002850251403737874,0.0017824448101843398,0.0001404928296095648
1,mapp,10.0,0.3,calibrated,0.7769528212385218,0.0005080997747889017,0.9648099268010261,0.0002683490895781494,1.0,0.0,6.332324224213759,0.0202684005073628,0.16101337719298248,0.0018991785170711433,1.5768874526245806,0.001973069601533299,0.0016164514624203246,0.0005478909499794705
1,mapp,0.1,0.1,calibrated,0.7760037752767012,0.00036753351729672257,0.9648527150208501,0.0005508161099130522,1.0,0.0,6.336562278370063,0.013247965332889852,0.16320635964912283,0.0018991785170711433,1.5773337645944736,0.0011942831065186487,0.002460439514834434,0.0035728589175406233
1,mapp,1.0,0.1,calibrated,0.7765928249512064,0.000320721418088133,0.9648770795813727,0.000992671565530355,1.0,0.0,6.342797316610813,0.0062623681405089265,0.16210986842105266,0.0,1.5779754515819564,0.0009172569521406732,0.003945883984367053,0.0013613274563855121
1,fixed_gompertz,1.0,1.0,calibrated,0.7765865529511582,0.0006764978917854873,0.9650389989510112,0.000484163345735271,1.0,0.0,6.349319366117318,0.008597482573590274,0.16320635964912283,0.0018991785170711394,1.578697970114724,0.0008564281767471627,0.0025621394937237105,0.0020013701690469107
1,mapp,0.1,10.0,calibrated,0.7768748319266657,0.0005514160452565824,0.9650857812950728,0.0014884392128507108,1.0,0.0,6.3348439919451875,0.009055334455730119,0.16210986842105266,0.0032894736842105365,1.5772440931859428,0.0014451960109721788,0.0008137861732393503,0.00046849193251316214
1,mapp,1.0,1.0,calibrated,0.7768173755244597,0.00022351875863237867,0.9653012300542607,0.0003800065146622425,1.0,0.0,6.350623308370511,0.01535563454797425,0.164302850877193,0.0018991785170711475,1.5789265452464019,0.0016660137301720375,0.002760404876122872,0.0010838408562070018
1,mapp,0.1,0.3,calibrated,0.7763881270218183,0.00024293463000076444,0.9659402543133333,0.00083537553792529,1.0,0.0,6.354811598857244,0.007490245411429495,0.1653993421052632,0.0,1.5795873015169632,0.0006388740502284985,0.004287309944629669,0.00040326800390430356
1,no_physics,0.0,1.0,raw,0.775485680536612,0.000709700991186779,0.9634256610340023,0.00016036654989314448,0.008771929824561403,0.015193428136569098,0.0918558709846254,0.0026606974053694403,0.6657410087719299,0.0018991785170711672,959.2643605507373,122.86011299862012,0.021271171358724434,0.009684904057670817
