repeat,m,method,method_id,calibration_type,alpha,nominal_coverage,n_val,n_calibration_patients,n_test,finite_sample_quantile_level,finite_sample_quantile_rank,q_score,score_min,score_median,score_p90,score_max,raw_rmse,raw_picp,raw_mpiw,raw_ece,raw_nll,calibrated_picp,calibrated_mpiw,calibrated_ece,calibrated_nll,covered_count,picp_wilson95_low,picp_wilson95_high,picp_patient_cluster_bootstrap95_low,picp_patient_cluster_bootstrap95_high,n_test_patients,n_cluster_bootstrap
2,4,Deterministic,deterministic,absolute_residual,0.05,0.95,27,19,38,1.0,19,1.5149500072002409,0.007610678672790527,0.3128942400217057,0.9389514923095703,1.5149500072002409,0.41965970003726,,,,,1.0,3.029900014400482,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,4,Cohort-level Feature GP,gaussian_process,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.7667174378547215,0.116489226811138,0.5643507598087797,1.5757781613577349,2.3411958387329843,0.43918709083573293,0.9736842105263158,2.4715699909752993,0.10947828947368424,0.6999847981909767,0.9736842105263158,2.227880632693974,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
2,4,Cohort-level Feature GP,gaussian_process,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3411958387329843,0.116489226811138,0.5643507598087797,1.5757781613577349,2.3411958387329843,0.43918709083573293,0.9736842105263158,2.4715699909752993,0.10947828947368424,0.6999847981909767,1.0,2.9523141362041887,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,4,MC Dropout,mc_dropout,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.8810662016848245,0.08924484649488217,0.5749340179218047,1.7100638175048297,2.564386812150514,0.4254923289856562,0.9736842105263158,2.3190104386469215,0.10947828947368424,0.6547312120841654,0.9736842105263158,2.2256593447132684,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
2,4,MC Dropout,mc_dropout,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.564386812150514,0.08924484649488217,0.5749340179218047,1.7100638175048297,2.564386812150514,0.4254923289856562,0.9736842105263158,2.3190104386469215,0.10947828947368424,0.6547312120841654,1.0,3.0341576850459795,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,4,Deep Ensemble,deep_ensemble,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.8840334459968042,0.11030862564464423,0.5926608170190147,1.6683959242269792,2.3763788165346247,0.43013620232810834,0.9736842105263158,2.3748794788400978,0.1061888157894737,0.6742491122099047,0.9736842105263158,2.2828747893529298,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
2,4,Deep Ensemble,deep_ensemble,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.3763788165346247,0.11030862564464423,0.5926608170190147,1.6683959242269792,2.3763788165346247,0.43013620232810834,0.9736842105263158,2.3748794788400978,0.1061888157894737,0.6742491122099047,1.0,2.879447443858408,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
2,4,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.9852335950333275,0.0864089553545213,0.5339311174720753,1.5195236371883811,2.4058104947275045,0.4266497526518473,0.9736842105263158,2.4375287730968305,0.11605723684210528,0.6792300446302706,0.9736842105263158,2.4689555764198303,,,37,0.8650512388404787,0.9953394123142312,0.9090909090909091,1.0,26,5000
2,4,Gaussian residual-scale,bayesian_laplace,normalized_residual,0.05,0.95,27,19,38,1.0,19,2.4058104947275045,0.0864089553545213,0.5339311174720753,1.5195236371883811,2.4058104947275045,0.4266497526518473,0.9736842105263158,2.4375287730968305,0.11605723684210528,0.6792300446302706,1.0,2.992010235786438,,,38,0.908190131774416,0.9999999999999999,1.0,1.0,26,5000
3,1,Deterministic,deterministic,absolute_residual,0.1,0.9,27,19,38,0.9473684210526315,18,1.2145092189311981,0.009037476032972398,0.39064037799835205,1.0451981388032436,1.6212075054645536,0.46363665805959137,,,,,0.9736842105263158,2.4290184378623962,,,37,0.8650512388404787,0.9953394123142312,0.90625,1.0,26,5000
