m,method,Method,Subgroup,n_per_repeat,rmse_mean,rmse_sd,RMSE,picp_mean,picp_sd,PICP,mpiw_mean,mpiw_sd,MPIW,ece_mean,ece_sd,ECE,nll_mean,nll_sd,NLL,mae_mean,mae_sd,MAE
3,deterministic,Deterministic,other,8,0.342895462299434,0.005803391644004425,0.3429 +/- 0.0058,1.0,0.0,1.0000 +/- 0.0000,3.0583579502999783,0.018759761347072725,3.0584 +/- 0.0188,0.2037791666666667,0.0075921560398435756,0.2038 +/- 0.0076,0.7673601336303678,0.0017529759556148457,0.7674 +/- 0.0018,0.298179201160868,0.014044967569512417,0.2982 +/- 0.0140
3,mc_dropout,MC Dropout,abdomen/liver,13,0.5405445713649045,0.011250127124753186,0.5405 +/- 0.0113,1.0,0.0,1.0000 +/- 0.0000,4.708102959294057,0.16121859435383779,4.7081 +/- 0.1612,0.23700865384615386,0.009615384615384609,0.2370 +/- 0.0096,1.1223762064492364,0.042813520984843347,1.1224 +/- 0.0428,0.4001381264173259,0.005281389943994722,0.4001 +/- 0.0053
3,mc_dropout,MC Dropout,chest/lung,17,0.5935434229162498,0.0031094999929812293,0.5935 +/- 0.0031,1.0,0.0,1.0000 +/- 0.0000,4.859535242460484,0.3562066756731035,4.8595 +/- 0.3562,0.18365269607843138,0.025822680766795933,0.1837 +/- 0.0258,1.2234498707398345,0.04391200546253625,1.2234 +/- 0.0439,0.4799631916189238,0.003809259874480286,0.4800 +/- 0.0038
3,mc_dropout,MC Dropout,other,8,0.3523468946208619,0.025477891287516402,0.3523 +/- 0.0255,1.0,0.0,1.0000 +/- 0.0000,4.74881790648952,0.2780850788050713,4.7488 +/- 0.2781,0.25503750000000003,0.027063293868263706,0.2550 +/- 0.0271,1.1365823134732493,0.05415217428449777,1.1366 +/- 0.0542,0.3038316150762451,0.010243038994809021,0.3038 +/- 0.0102
3,deep_ensemble,Deep Ensemble,abdomen/liver,13,0.5576838582137921,0.007149504648707665,0.5577 +/- 0.0071,1.0,0.0,1.0000 +/- 0.0000,3.32856820071737,0.03219173342295618,3.3286 +/- 0.0322,0.1312394230769231,0.019230769230769218,0.1312 +/- 0.0192,0.9751539388558691,0.017044565172760765,0.9752 +/- 0.0170,0.4203167517120257,0.013983560079551541,0.4203 +/- 0.0140
3,deep_ensemble,Deep Ensemble,chest/lung,17,0.5853487631679287,0.0014845614012327043,0.5853 +/- 0.0015,1.0,0.0,1.0000 +/- 0.0000,3.360435077338814,0.022281127466832355,3.3604 +/- 0.0223,0.11502524509803924,0.004245222567570783,0.1150 +/- 0.0042,1.0028505444231295,0.004726721199715928,1.0029 +/- 0.0047,0.4631850896220581,0.004065602119262488,0.4632 +/- 0.0041
3,deep_ensemble,Deep Ensemble,other,8,0.3630956510903858,0.007274791328658125,0.3631 +/- 0.0073,1.0,0.0,1.0000 +/- 0.0000,3.295127557534727,0.0459935329477466,3.2951 +/- 0.0460,0.21857916666666669,0.009021097956087902,0.2186 +/- 0.0090,0.8435458819387671,0.015782298585230215,0.8435 +/- 0.0158,0.30231941694704195,0.004306673004763315,0.3023 +/- 0.0043
3,bayesian_laplace,Residual Gaussian,abdomen/liver,13,0.5413317288324417,0.00486517376342704,0.5413 +/- 0.0049,1.0,0.0,1.0000 +/- 0.0000,3.090863134711981,0.16920217326829481,3.0909 +/- 0.1692,0.1312394230769231,1.962615573354719e-17,0.1312 +/- 0.0000,0.9170918463504996,0.03303288561218129,0.9171 +/- 0.0330,0.41042084972827864,0.026749250463475274,0.4104 +/- 0.0267
3,bayesian_laplace,Residual Gaussian,chest/lung,17,0.6034556699203456,0.02252877562355867,0.6035 +/- 0.0225,1.0,0.0,1.0000 +/- 0.0000,3.090863134711981,0.16920217326829481,3.0909 +/- 0.1692,0.08245563725490197,0.02610503808202795,0.0825 +/- 0.0261,0.9766720396498854,0.0027884512709096102,0.9767 +/- 0.0028,0.48685164457442714,0.028343969267166935,0.4869 +/- 0.0283
3,bayesian_laplace,Residual Gaussian,other,8,0.3725194348183211,0.026145023451793745,0.3725 +/- 0.0261,1.0,0.0,1.0000 +/- 0.0000,3.090863134711981,0.16920217326829481,3.0909 +/- 0.1692,0.1881541666666667,0.009813903827393732,0.1882 +/- 0.0098,0.7918616636566845,0.057015634034301425,0.7919 +/- 0.0570,0.3201535754681875,0.008217427731199784,0.3202 +/- 0.0082
